"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"251899";"1";"MESA 1";"128";"/293/2/1/1/1/24/1/";"/293/2/1/1/1/24/"
"251900";"2";"MESA 2";"128";"/293/2/1/1/1/24/2/";"/293/2/1/1/1/24/"
"251901";"3";"MESA 3";"128";"/293/2/1/1/1/24/3/";"/293/2/1/1/1/24/"
"251908";"2080";"ESCOLA PRIMÁRIA DE LOMBO LOMBO";"64";"/293/2/1/1/1/25/";"/293/2/1/1/1/"
"251909";"1";"MESA 1";"128";"/293/2/1/1/1/25/1/";"/293/2/1/1/1/25/"
"251910";"2";"MESA 2";"128";"/293/2/1/1/1/25/2/";"/293/2/1/1/1/25/"
"251911";"3";"MESA 3";"128";"/293/2/1/1/1/25/3/";"/293/2/1/1/1/25/"
"251912";"4";"MESA 4";"128";"/293/2/1/1/1/25/4/";"/293/2/1/1/1/25/"
"251913";"5";"MESA 5";"128";"/293/2/1/1/1/25/5/";"/293/2/1/1/1/25/"
"251918";"2081";"ESCOLA PRIMÁRIA DE LOMBO LOMBO (2)";"64";"/293/2/1/1/1/26/";"/293/2/1/1/1/"
"251919";"1";"MESA 1";"128";"/293/2/1/1/1/26/1/";"/293/2/1/1/1/26/"
"251920";"2";"MESA 2";"128";"/293/2/1/1/1/26/2/";"/293/2/1/1/1/26/"
"251921";"3";"MESA 3";"128";"/293/2/1/1/1/26/3/";"/293/2/1/1/1/26/"
"251922";"4";"MESA 4";"128";"/293/2/1/1/1/26/4/";"/293/2/1/1/1/26/"
"251923";"5";"MESA 5";"128";"/293/2/1/1/1/26/5/";"/293/2/1/1/1/26/"
"251924";"2082";"ESCOLA PRIMÁRIA DE ZANGOIO";"64";"/293/2/1/1/1/27/";"/293/2/1/1/1/"
"251925";"1";"MESA 1";"128";"/293/2/1/1/1/27/1/";"/293/2/1/1/1/27/"
"251926";"2";"MESA 2";"128";"/293/2/1/1/1/27/2/";"/293/2/1/1/1/27/"
"251927";"3";"MESA 3";"128";"/293/2/1/1/1/27/3/";"/293/2/1/1/1/27/"
"251928";"4";"MESA 4";"128";"/293/2/1/1/1/27/4/";"/293/2/1/1/1/27/"
"251931";"2083";"ESCOLA PRIMÁRIA DE ZANGOIO (2)";"64";"/293/2/1/1/1/28/";"/293/2/1/1/1/"
"251932";"1";"MESA 1";"128";"/293/2/1/1/1/28/1/";"/293/2/1/1/1/28/"
"251933";"2";"MESA 2";"128";"/293/2/1/1/1/28/2/";"/293/2/1/1/1/28/"
"251934";"3";"MESA 3";"128";"/293/2/1/1/1/28/3/";"/293/2/1/1/1/28/"
"251935";"4";"MESA 4";"128";"/293/2/1/1/1/28/4/";"/293/2/1/1/1/28/"
"251940";"2084";"ESCOLA PRIMÁRIA A VITORIA E CERTA";"64";"/293/2/1/1/1/29/";"/293/2/1/1/1/"
"251941";"1";"MESA 1";"128";"/293/2/1/1/1/29/1/";"/293/2/1/1/1/29/"
"251942";"2";"MESA 2";"128";"/293/2/1/1/1/29/2/";"/293/2/1/1/1/29/"
"251943";"3";"MESA 3";"128";"/293/2/1/1/1/29/3/";"/293/2/1/1/1/29/"
"251944";"4";"MESA 4";"128";"/293/2/1/1/1/29/4/";"/293/2/1/1/1/29/"
"251801";"2058";"ESCOLA PRIMÁRIA AMÍLCAR CABRAL";"64";"/293/2/1/1/1/3/";"/293/2/1/1/1/"
"251802";"1";"MESA 1";"128";"/293/2/1/1/1/3/1/";"/293/2/1/1/1/3/"
"690518";"2";"MESA 2";"128";"/293/2/1/1/1/3/2/";"/293/2/1/1/1/3/"
"690519";"3";"MESA 3";"128";"/293/2/1/1/1/3/3/";"/293/2/1/1/1/3/"
"690520";"4";"MESA 4";"128";"/293/2/1/1/1/3/4/";"/293/2/1/1/1/3/"
"690521";"5";"MESA 5";"128";"/293/2/1/1/1/3/5/";"/293/2/1/1/1/3/"
"251946";"2085";"ESCOLA PRIMÁRIA A VITORIA E CERTA (2)";"64";"/293/2/1/1/1/30/";"/293/2/1/1/1/"
"251947";"1";"MESA 1";"128";"/293/2/1/1/1/30/1/";"/293/2/1/1/1/30/"
"251948";"2";"MESA 2";"128";"/293/2/1/1/1/30/2/";"/293/2/1/1/1/30/"
"690543";"3";"MESA 3";"128";"/293/2/1/1/1/30/3/";"/293/2/1/1/1/30/"
"690544";"4";"MESA 4";"128";"/293/2/1/1/1/30/4/";"/293/2/1/1/1/30/"
